cancer, usepca, nfeatures, accuracy, precision, recall
brain,False,54675,0.56,0.57,0.55
leukemia,True,281,0.53,0.45,0.43
leukemia,False,22283,0.53,0.47,0.44
liver,True,357,0.94,0.94,0.94
liver,False,22277,0.94,0.94,0.94
brain,True,130,0.43,0.4,0.37
brain,False,54675,0.5,0.5,0.46
leukemia,True,281,0.67,0.62,0.6
leukemia,False,22283,0.38,0.34,0.31
liver,True,357,0.94,0.94,0.94
liver,False,22277,0.94,0.94,0.94
brain,True,130,0.54,0.58,0.56
brain,False,54675,0.52,0.56,0.56
leukemia,True,281,0.57,0.51,0.69
leukemia,False,22283,0.37,0.48,0.44
liver,True,357,0.94,0.94,0.94
liver,False,22277,0.94,0.94,0.94
brain,True,130,0.48,0.5,0.48
brain,False,54675,0.5,0.45,0.43
leukemia,True,281,0.65,0.64,0.66
leukemia,False,22283,0.23,0.27,0.17
liver,True,357,0.94,0.94,0.94
liver,False,22277,0.94,0.94,0.94
brain,True,130,0.68,0.75,0.72
brain,False,54675,0.65,0.58,0.6
leukemia,True,281,0.35,0.33,0.3
leukemia,False,22283,0.44,0.45,0.35
liver,True,357,0.94,0.94,0.94
liver,False,22277,0.94,0.94,0.94
brain,True,130,0.66,0.76,0.71
brain,False,54675,0.58,0.65,0.6
leukemia,True,281,0.62,0.57,0.57
leukemia,False,22283,0.49,0.46,0.4
liver,True,357,0.94,0.94,0.94
liver,False,22277,0.94,0.94,0.94
brain,True,130,0.66,0.76,0.71
brain,False,54675,0.55,0.6,0.58
leukemia,True,281,0.72,0.74,0.7
leukemia,False,22283,0.61,0.5,0.49
liver,True,357,0.94,0.94,0.94
liver,False,22277,0.94,0.94,0.94
brain,True,130,0.55,0.6,0.58
brain,False,54675,0.53,0.54,0.52
leukemia,True,281,0.53,0.46,0.42
leukemia,False,22283,0.6,0.59,0.55
liver,True,357,0.94,0.94,0.94
liver,False,22277,0.94,0.94,0.94
brain,True,130,0.55,0.59,0.56
brain,False,54675,0.48,0.5,0.42
leukemia,True,281,0.66,0.59,0.58
leukemia,False,22283,0.57,0.51,0.5
liver,True,357,0.94,0.94,0.94
liver,False,22277,0.94,0.94,0.94
brain,True,130,0.36,0.35,0.33
brain,False,54675,0.65,0.75,0.69
leukemia,True,281,0.71,0.69,0.7
leukemia,False,22283,0.57,0.48,0.47
liver,True,357,0.94,0.94,0.94
liver,False,22277,0.94,0.94,0.94
brain,True,130,0.58,0.58,0.58
brain,False,54675,0.38,0.41,0.28
leukemia,True,281,0.64,0.6,0.58
leukemia,False,22283,0.44,0.45,0.52
liver,True,357,0.94,0.94,0.94
liver,False,22277,0.94,0.94,0.94
